v-sweep,v(vs),v(vg),v(vd),i(v.xdut.v1),i(v.xdut.v2),i(v.xdut.v3),id1,id2,id3,vsg,vsd,gm1,gm2,gm3
1.09,1.8,0.71,0.0,2.86462e-06,5.63697e-06,7.77239e-06,2.8646200000000004,5.63697,7.77239,1.09,1.8,28.12000000000003,45.155999999999935,61.0089999999999
1.1,1.8,0.7,0.0,3.1677e-06,6.12637e-06,8.43798e-06,3.1677,6.12637,8.43798,1.1,1.8,30.30799999999993,48.93999999999994,66.55899999999993
1.11,1.8,0.69,0.0,3.493e-06,6.65448e-06,9.16088e-06,3.493,6.6544799999999995,9.160879999999999,1.11,1.8,32.529999999999966,52.810999999999936,72.28999999999985
1.12,1.8,0.68,0.0,3.84075e-06,7.22199e-06,9.9426e-06,3.8407499999999994,7.22199,9.9426,1.12,1.8,34.77499999999993,56.75099999999999,78.17200000000011
1.13,1.8,0.67,0.0,4.21114e-06,7.8294e-06,1.07843e-05,4.211139999999999,7.8294,10.7843,1.13,1.8,37.03900000000079,60.74100000000127,84.17000000000174
1.14,1.8,0.66,0.0,4.60426e-06,8.4771e-06,1.16871e-05,4.60426,8.4771,11.687100000000001,1.1400000000000001,1.8,39.31199999999915,64.76999999999855,90.27999999999801
1.15,1.8,0.65,0.0,5.02016e-06,9.16531e-06,1.26514e-05,5.020160000000001,9.16531,12.6514,1.15,1.8,41.59000000000095,68.82100000000145,96.43000000000202
1.16,1.8,0.64,0.0,5.45779e-06,9.89329e-06,1.36776e-05,5.45779,9.89329,13.6776,1.1600000000000001,1.8,43.76299999999894,72.79799999999837,102.61999999999756
1.17,1.8,0.63,0.0,5.91923e-06,1.06628e-05,1.47664e-05,5.919230000000001,10.6628,14.766399999999999,1.17,1.8,46.144000000001036,76.95100000000167,108.88000000000223
1.18,1.8,0.62,0.0,6.4034e-06,1.14731e-05,1.59177e-05,6.4034,11.4731,15.917699999999998,1.1800000000000002,1.8,48.41699999999886,81.02999999999811,115.12999999999725
1.19,1.8,0.61,0.0,6.9102e-06,1.23239e-05,1.71315e-05,6.910200000000001,12.3239,17.1315,1.19,1.8,50.680000000001094,85.08000000000177,121.38000000000268
1.2,1.8,0.6,0.0,7.43955e-06,1.32151e-05,1.84075e-05,7.43955,13.2151,18.4075,1.2000000000000002,1.8,52.93499999999869,89.1199999999979,127.59999999999704
1.21,1.8,0.59,0.0,7.99135e-06,1.41467e-05,1.97456e-05,7.99135,14.1467,19.7456,1.21,1.8,55.180000000001186,93.16000000000194,133.81000000000293
