Temperature (°C),Output voltage (V),Coarse code,Fine code,Timestamp (ns),Minimum power (uW),Maximum power (uW),Average power (uW),Sleep min power (uW),Sleep avg power (uW),Sleep max power (uW),Voltage supply (V),Process corner
59.0,0.916882,0.01,0.001,299402.0,-1.1327257656000007,104.53675032,78.26117084008268,-1.1327257656000007,0.021641428788367154,0.024999857999999483,1.8,Typical
60.0,0.917309,0.01,0.001,299402.0,-1.1399282135999993,104.1693534,77.09872873963877,-1.1399282135999993,0.02156742336588806,0.024999967799999235,1.8,Typical
61.0,0.917733,0.01,0.001,299402.0,-1.1469898710000002,103.79876399999999,77.6565922571458,-1.1469898710000002,0.021414858023233608,0.024999960599999937,1.8,Typical
62.0,0.918154,0.01,0.001,299402.0,-1.1538966797999999,103.42674720000001,77.31288942336654,-1.1538966797999999,0.02115096113039405,0.02499989039999998,1.8,Typical
63.0,0.918583,0.01,0.001,299302.0,-1.1606331725999999,102.89340539999999,76.2071149772918,-1.1606331725999999,0.01859892917654485,0.024999955199999216,1.8,Typical
64.0,0.91901,0.01,0.001,302402.0,-1.1673488034000004,102.5510076,76.68264147026171,-1.1673488034000004,0.01624344302605679,0.024999949799999956,1.8,Typical
65.0,0.919443,0.01,0.001,304402.0,-1.1739474576,102.18488219999999,75.5242075837552,-1.1739474576,-0.8175790110000002,0.02499517079999998,1.8,Typical
66.0,0.919872,0.01,0.001,306302.0,-1.1803904909999998,101.814786,76.12418992657084,-1.1803904909999998,-0.9275096230874997,-0.13013817479999973,1.8,Typical
67.0,0.920302,0.01,0.001,272302.0,-1.1867702777999996,101.44409040000001,75.85352879485748,-1.1867702777999996,-0.9320684835374999,-0.1340161253999998,1.8,Typical
68.0,0.920743,0.01,0.001,272302.0,-1.1930427684000002,101.07758700000001,74.93279477353781,-1.1930427684000002,-0.9365201609625007,-0.13784745780000127,1.8,Typical
69.0,0.921178,0.01,0.001,272302.0,-1.1992575744,100.70783639999999,75.27279501524333,-1.1992575744,-0.9409326625125,-0.14168931839999982,1.8,Typical
70.0,0.921614,0.01,0.001,272302.0,-1.2053558682,100.33765379999998,74.26136925242974,-1.2053558682,-0.9452310339375001,-0.14547542400000005,1.8,Typical
