Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns)
0.929036,Typical,1.8,-18.0,0.009,0.0,335202.0,88.38627642084225,-0.4944530304,115.70005439999998,0.023175386999999933,-0.005012999999999934,0.876022,62800.0
0.889296,Typical,1.8,-17.0,0.01,0.001,295102.0,97.43024777747897,-0.5552465022000007,129.4888896,0.023224179599999468,0.0006420000000000314,0.861861,127600.0
0.889628,Typical,1.8,-16.0,0.01,0.001,295102.0,97.34443683703773,-0.5595656904000006,129.580362,0.023184968399998385,0.0006680000000000019,0.858304,127600.0
0.889954,Typical,1.8,-15.0,0.01,0.001,295102.0,96.38322733307287,-0.5666874353999998,129.6853434,0.023202926999999915,0.0006890000000000507,0.854903,127600.0
0.890298,Typical,1.8,-14.0,0.01,0.001,295102.0,97.16722920251965,-0.5738518080000004,129.7953234,0.02320243380000002,0.0007019999999999804,0.851639,127600.0
0.890626,Typical,1.8,-13.0,0.01,0.001,295102.0,97.01713029004682,-0.5811419952000001,129.8541762,0.023195957399999995,0.0007329999999999837,0.848493,127600.0
0.89096,Typical,1.8,-12.0,0.01,0.001,296102.0,96.85845335574813,-0.5887027133999999,129.8692404,0.023200847999999358,0.0007530000000000037,0.845453,128600.0
0.891293,Typical,1.8,-11.0,0.01,0.001,297102.0,96.7801759246293,-0.5962999895999999,129.9540294,0.023199069599997624,0.0007740000000000524,0.842507,128600.0
0.89163,Typical,1.8,-10.0,0.01,0.001,298102.0,95.68732613239877,-0.6038042039999997,130.080897,0.023151880800000052,0.0007900000000000684,0.839643,128600.0
0.891972,Typical,1.8,-9.0,0.01,0.001,324102.0,96.79854339259656,-0.6112693565999993,128.937141,0.02316711780000164,0.0008090000000000597,0.836855,128600.0
0.892313,Typical,1.8,-8.0,0.01,0.001,325202.0,96.40453663993596,-0.6191603586000007,125.0443386,0.02317347000000004,0.0008259999999999934,0.834135,128600.0
0.892645,Typical,1.8,-7.0,0.01,0.001,325202.0,96.222426151098,-0.6264569231999998,124.8861222,0.023188264199998816,0.0008470000000000422,0.831476,128600.0
0.891958,Typical,1.8,-6.0,0.01,0.001,325302.0,96.0473590718387,-0.6337431000000003,124.6986792,0.023196934800000037,0.0009409999999999696,0.828648,128700.0
0.892305,Typical,1.8,-5.0,0.01,0.001,325302.0,95.90176557423788,-0.6410970377999996,124.52974019999999,0.023213896199999976,0.0009649999999999936,0.826102,128700.0
0.892655,Typical,1.8,-4.0,0.01,0.001,325302.0,95.8754671481099,-0.6484890204,124.35809220000002,0.0232307117999999,0.0009740000000000304,0.823602,128700.0
0.893007,Typical,1.8,-3.0,0.01,0.001,325302.0,95.66899788252171,-0.6558949134000001,124.17859800000001,0.023251028399999433,0.0009929999999999106,0.821145,128700.0
0.893358,Typical,1.8,-2.0,0.01,0.001,325302.0,95.45069960034964,-0.6634255878,123.994188,0.02315039580000006,0.0010060000000000624,0.818726,128700.0
0.893704,Typical,1.8,-1.0,0.01,0.001,325302.0,95.23197487876105,-0.6708515058000001,123.8050422,0.023248355399998793,0.0010210000000000496,0.816344,128700.0
0.894067,Typical,1.8,0.0,0.01,0.001,325302.0,95.04740477056437,-0.6784083486000003,123.6127014,0.023210402400000017,0.0010229999999999961,0.813995,128700.0
0.894421,Typical,1.8,1.0,0.01,0.001,325302.0,94.8070206459748,-0.6859903428000002,123.41582820000002,0.02320084260000006,0.0010420000000000984,0.811678,128700.0
0.894775,Typical,1.8,2.0,0.01,0.001,325302.0,94.6033812763191,-0.6935836752000003,123.2132868,0.02321955900000006,0.0010449999999999626,0.809389,128700.0
0.895135,Typical,1.8,3.0,0.01,0.001,325302.0,94.37442548790101,-0.7012382687999998,122.9907096,0.02321374140000013,0.0010610000000000896,0.807127,128700.0
0.895492,Typical,1.8,4.0,0.01,0.001,325302.0,94.13268091711498,-0.7089164261999998,122.89788900000002,0.023183647199999942,0.0010700000000000154,0.80489,128700.0
0.895851,Typical,1.8,5.0,0.01,0.001,325302.0,93.80680602897523,-0.12291083640000024,122.68241100000002,0.023238048599999964,0.0010790000000000521,0.802676,128700.0
