Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.885921,ttmm,1.8,-40.0,0.011,0.004,600000.0,101.90077529148101,0.0230302278,143.09707500000002,0.023042005199999965,0.00638800000000006,1.09151,58295.0,26
0.893096,ttmm,1.8,-40.0,0.011,0.004,600000.0,103.15453521589043,-0.44712013499999775,143.6540904,0.023043736800002202,0.0064950000000000285,1.08484,57298.0,27
0.988377,ttmm,1.8,-40.0,0.01,0.008,535402.0,98.04847204048936,-0.08311419594,131.4552636,0.023101363799998862,-0.010259999999999936,1.10589,62700.0,28
0.901451,ttmm,1.8,-40.0,0.013,0.004,524502.0,109.45799897325045,0.0036775009800000817,142.1324946,0.023046800399999998,0.005927000000000016,1.06009,61800.0,29
0.957891,ttmm,1.8,0.0,0.011,0.004,600000.0,95.81814924244387,-0.8422476101999977,133.6330584,0.0232071552000024,0.00018099999999998673,0.83501,58295.0,0
0.93213,ttmm,1.8,0.0,0.01,0.001,542702.0,100.26028266006902,-0.005888345759999847,129.9450888,0.023238453599999865,0.0008820000000000494,0.824145,69600.0,1
0.945562,ttmm,1.8,0.0,0.011,0.004,596805.0,95.23539057707202,-0.8326205981999999,131.981526,0.023263358399997734,0.0032039999999999846,0.839037,61700.0,2
0.821183,ttmm,1.8,0.0,0.011,0.007,576905.0,89.5055883539859,-0.05954947380000001,124.58495340000002,0.023245005599999997,0.019386999999999932,0.803555,62000.00000000006,3
0.892836,ttmm,1.8,0.0,0.012,0.004,600000.0,97.52560072113836,-0.9341231903999992,130.4826372,0.023186700000000546,0.00755399999999995,0.814577,53895.0,4
0.876045,ttmm,1.8,0.0,0.012,0.004,600000.0,98.59836361242861,-0.800867980799997,127.1927124,0.023222811600003425,0.010940999999999979,0.828972,54495.0,5
0.872916,ttmm,1.8,0.0,0.011,0.005,542302.0,94.7256696960722,-0.8493237972000002,130.282353,0.02318357879999991,0.013626999999999945,0.818627,61900.0,6
1.00281,ttmm,1.8,0.0,0.011,0.004,514704.99999999994,91.24751453431925,-0.8892348984,129.191544,0.023266222199999853,-0.0028599999999999737,0.832906,62702.99999999994,7
